k,k_used,baseline_acc,top_acc,top_drop,random_mean_acc,random_std_acc,random_mean_drop,random_trials,match_layer_distribution
100,100,0.684,0.691,-0.006999999999999895,0.6852000000000001,0.000979795897113272,-0.0012000000000000899,5,False
200,200,0.684,0.664,0.020000000000000018,0.6866,0.0016248076809271415,-0.0025999999999999357,5,False
300,300,0.684,0.657,0.027000000000000024,0.6862,0.0031874754901018163,-0.0021999999999999797,5,False
400,400,0.684,0.675,0.009000000000000008,0.686,0.0022803508501982486,-0.0020000000000000018,5,False
500,500,0.684,0.66,0.02400000000000002,0.6872,0.0019390719429664828,-0.0031999999999999806,5,False
600,600,0.684,0.662,0.02200000000000002,0.6863999999999999,0.0033823069050575214,-0.0023999999999998467,5,False
700,700,0.684,0.657,0.027000000000000024,0.6874,0.0030066592756745414,-0.0033999999999999586,5,False
800,800,0.684,0.652,0.03200000000000003,0.6863999999999999,0.004176122603564177,-0.0023999999999998467,5,False
900,900,0.684,0.646,0.038000000000000034,0.6864,0.0063435006108614475,-0.0023999999999999577,5,False
1000,1000,0.684,0.643,0.041000000000000036,0.6861999999999999,0.006493073232299132,-0.0021999999999998687,5,False
