layer,position,acc,f1
0,first,0.6826462128475551,0.8098793796668581
0,mean,0.5551294343240653,0.6369327073552425
0,last,0.6021093000958773,0.7351627313337588
1,first,0.6701821668264621,0.8006952491309386
1,mean,0.5934803451581975,0.6763358778625954
1,last,0.6164908916586769,0.7458703939008895
2,first,0.6711409395973155,0.8009286128845038
2,mean,0.6251198465963567,0.6989992301770592
2,last,0.6222435282837967,0.7528230865746549
3,first,0.6807286673058485,0.8089500860585198
3,mean,0.6212847555129435,0.7023360964581763
3,last,0.6011505273250239,0.7340153452685422
4,first,0.6692233940556088,0.8
4,mean,0.6768935762224353,0.7475655430711611
4,last,0.6279961649089166,0.7587064676616916
5,first,0.6807286673058485,0.8089500860585198
5,mean,0.7219558964525408,0.7835820895522388
5,last,0.6251198465963567,0.7539332913782253
6,first,0.6711409395973155,0.8009286128845038
6,mean,0.7420901246404602,0.8011825572801182
6,last,0.613614573346117,0.743475493316359
7,first,0.6692233940556088,0.8
7,mean,0.7286673058485139,0.7883320867614061
7,last,0.6414189837008629,0.7641866330390921
8,first,0.6893576222435283,0.8154897494305239
8,mean,0.7363374880153404,0.7961452928094885
8,last,0.6241610738255033,0.7515842839036755
9,first,0.6807286673058485,0.8089500860585198
9,mean,0.7152444870565676,0.7748294162244125
9,last,0.6241610738255033,0.7490396927016645
10,first,0.6711409395973155,0.8009286128845038
10,mean,0.7267497603068073,0.7842543527630583
10,last,0.6193672099712368,0.7450224791265254
11,first,0.6893576222435283,0.8154897494305239
11,mean,0.7363374880153404,0.7967479674796748
11,last,0.6203259827420902,0.7461538461538462
12,first,0.6893576222435283,0.8154897494305239
12,mean,0.7392138063279002,0.8002936857562408
12,last,0.6212847555129435,0.7453255963894262
13,first,0.6778523489932886,0.806674338319908
13,mean,0.7468839884947267,0.8035714285714286
13,last,0.6212847555129435,0.7482472912683238
14,first,0.6788111217641419,0.8073605520414031
14,mean,0.7392138063279002,0.7970149253731343
14,last,0.6308724832214765,0.7552447552447552
15,first,0.6826462128475551,0.8098793796668581
15,mean,0.710450623202301,0.7749627421758569
15,last,0.6222435282837967,0.7480818414322251
16,first,0.6893576222435283,0.8154897494305239
16,mean,0.7018216682646213,0.7684288905435592
16,last,0.6289549376797698,0.75208199871877
17,first,0.6788111217641419,0.8073605520414031
17,mean,0.6970278044103547,0.7634730538922155
17,last,0.6193672099712368,0.745349583066068
18,first,0.6883988494726749,0.8152359295054008
18,mean,0.7123681687440077,0.780380673499268
18,last,0.62607861936721,0.75
19,first,0.6826462128475551,0.8098793796668581
19,mean,0.6931927133269415,0.7633136094674556
19,last,0.6212847555129435,0.7476038338658147
20,first,0.6893576222435283,0.8154897494305239
20,mean,0.7171620325982742,0.7819660014781966
20,last,0.6184084372003835,0.7458492975734355
21,first,0.6836049856184084,0.8105625717566016
21,mean,0.7027804410354745,0.7686567164179104
21,last,0.6212847555129435,0.7476038338658147
22,first,0.6893576222435283,0.8154897494305239
22,mean,0.6912751677852349,0.7628865979381443
22,last,0.6203259827420902,0.7468030690537084
23,first,0.6701821668264621,0.8006952491309386
23,mean,0.6960690316395014,0.7607547169811321
23,last,0.6289549376797698,0.7533460803059273
24,first,0.6788111217641419,0.8073605520414031
24,mean,0.6960690316395014,0.7657058388765706
24,last,0.6193672099712368,0.7476160203432931
25,first,0.6778523489932886,0.806674338319908
25,mean,0.6855225311601151,0.757396449704142
25,last,0.610738255033557,0.7407407407407407
